timestamp,latitude,longitude,speed_knots,course_deg,vessel_status,port_call_flag,wind_speed_knots,wind_direction_deg,sea_state,course_adjusted
2019-01-01 00:00:00,23.325451,97.824859,22.18,42.92,Underway,False,13.3,166.5,3.0,False
2019-01-01 01:00:00,23.374348,96.810294,21.87,42.92,Underway,False,14.2,26.9,2.0,False
2019-01-01 02:00:00,23.423245,95.795729,21.74,33.53,Underway,False,16.2,313.8,3.0,True
2019-01-01 03:00:00,23.472142,94.781164,21.92,42.92,Underway,False,14.5,131.6,2.0,False
2019-01-01 04:00:00,23.521039,93.766599,20.83,52.01,Underway,False,15.4,59.5,3.0,True
2019-01-01 05:00:00,23.569936,92.752034,22.39,42.92,Underway,False,12.6,340.3,2.0,False
2019-01-01 06:00:00,23.618833,91.737469,21.43,49.61,Underway,False,15.3,214.1,2.0,True
2019-01-01 07:00:00,23.66773,90.722903,22.95,42.92,Underway,False,13.5,269.9,3.0,False
2019-01-01 08:00:00,23.716627,89.708338,22.8,33.34,Underway,False,15.8,113.9,2.0,True
2019-01-01 09:00:00,23.765524,88.693773,22.66,35.01,Underway,False,15.4,192.4,3.0,True
2019-01-01 10:00:00,23.814421,87.679208,22.79,42.92,Underway,False,14.7,3.2,3.0,False
2019-01-01 11:00:00,23.863317,86.664643,22.23,42.92,Underway,False,13.9,303.0,3.0,False
2019-01-01 12:00:00,23.912214,85.650078,22.02,42.92,Underway,False,14.2,225.0,3.0,False
2019-01-01 13:00:00,23.961111,84.635513,21.29,33.34,Underway,False,21.8,188.6,4.0,True
2019-01-01 14:00:00,24.010008,83.620948,22.54,42.92,Underway,False,12.9,245.4,1.0,False
2019-01-01 15:00:00,24.058905,82.606383,21.79,42.92,Underway,False,14.3,172.2,2.0,False
2019-01-01 16:00:00,24.107802,81.591818,21.79,42.92,Underway,False,13.0,184.4,2.0,False
2019-01-01 17:00:00,24.156699,80.577253,22.0,42.92,Underway,False,14.9,129.6,3.0,False
2019-01-01 18:00:00,24.205596,79.562688,22.36,42.92,Underway,False,14.7,149.6,2.0,False
2019-01-01 19:00:00,24.254493,78.548123,20.84,42.92,Underway,False,15.0,98.9,2.0,False
2019-01-01 20:00:00,24.30339,77.533558,21.9,38.46,Underway,False,16.1,151.8,3.0,True
2019-01-01 21:00:00,24.352287,76.518993,22.16,41.34,Underway,False,16.3,113.2,3.0,True
2019-01-01 22:00:00,24.401184,75.504428,21.2,40.06,Underway,False,16.5,259.9,3.0,True
2019-01-01 23:00:00,24.450081,74.489862,22.89,41.66,Underway,False,22.0,95.8,4.0,True
2019-01-02 00:00:00,24.498978,73.475297,21.76,42.92,Underway,False,13.3,95.7,2.0,False
2019-01-02 01:00:00,24.547875,72.460732,22.37,35.33,Underway,False,15.2,83.7,2.0,True
2019-01-02 02:00:00,24.596772,71.446167,21.48,48.09,Underway,False,15.3,311.2,2.0,True
2019-01-02 03:00:00,24.645669,70.431602,22.33,42.3,Underway,False,17.7,21.0,2.0,True
2019-01-02 04:00:00,24.694566,69.417037,22.71,42.92,Underway,False,14.2,221.3,2.0,False
